movie_title,content_rating
Avatar ,PG-13
Pirates of the Caribbean: At World's End ,PG-13
Spectre ,PG-13
The Dark Knight Rises ,PG-13
Star Wars: Episode VII - The Force Awakens             ,
John Carter ,PG-13
Spider-Man 3 ,PG-13
Tangled ,PG
Avengers: Age of Ultron ,PG-13
Harry Potter and the Half-Blood Prince ,PG
Batman v Superman: Dawn of Justice ,PG-13
Superman Returns ,PG-13
Quantum of Solace ,PG-13
Pirates of the Caribbean: Dead Man's Chest ,PG-13
The Lone Ranger ,PG-13
Man of Steel ,PG-13
The Chronicles of Narnia: Prince Caspian ,PG
The Avengers ,PG-13
Pirates of the Caribbean: On Stranger Tides ,PG-13
Men in Black 3 ,PG-13
The Hobbit: The Battle of the Five Armies ,PG-13
The Amazing Spider-Man ,PG-13
Robin Hood ,PG-13
The Hobbit: The Desolation of Smaug ,PG-13
The Golden Compass ,PG-13
King Kong ,PG-13
Titanic ,PG-13
Captain America: Civil War ,PG-13
Battleship ,PG-13
Jurassic World ,PG-13
Skyfall ,PG-13
Spider-Man 2 ,PG-13
Iron Man 3 ,PG-13
Alice in Wonderland ,PG
X-Men: The Last Stand ,PG-13
Monsters University ,G
Transformers: Revenge of the Fallen ,PG-13
Transformers: Age of Extinction ,PG-13
Oz the Great and Powerful ,PG
The Amazing Spider-Man 2 ,PG-13
TRON: Legacy ,PG
Cars 2 ,G
Green Lantern ,PG-13
Toy Story 3 ,G
Terminator Salvation ,PG-13
Furious 7 ,PG-13
World War Z ,PG-13
X-Men: Days of Future Past ,PG-13
Star Trek Into Darkness ,PG-13
Jack the Giant Slayer ,PG-13
The Great Gatsby ,PG-13
Prince of Persia: The Sands of Time ,PG-13
Pacific Rim ,PG-13
Transformers: Dark of the Moon ,PG-13
Indiana Jones and the Kingdom of the Crystal Skull ,PG-13
The Good Dinosaur ,PG
Brave ,PG
Star Trek Beyond ,PG-13
WALL·E ,G
Rush Hour 3 ,PG-13
2012 ,PG-13
A Christmas Carol ,PG
Jupiter Ascending ,PG-13
The Legend of Tarzan ,PG-13
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",PG
X-Men: Apocalypse ,PG-13
The Dark Knight ,PG-13
Up ,PG
Monsters vs. Aliens ,PG
Iron Man ,PG-13
Hugo ,PG
Wild Wild West ,PG-13
The Mummy: Tomb of the Dragon Emperor ,PG-13
Suicide Squad ,PG-13
Evan Almighty ,PG
Edge of Tomorrow ,PG-13
Waterworld ,PG-13
G.I. Joe: The Rise of Cobra ,PG-13
Inside Out ,PG
The Jungle Book ,PG
Iron Man 2 ,PG-13
Snow White and the Huntsman ,PG-13
Maleficent ,PG
Dawn of the Planet of the Apes ,PG-13
The Lovers ,R
47 Ronin ,PG-13
Captain America: The Winter Soldier ,PG-13
Shrek Forever After ,PG
Tomorrowland ,PG
Big Hero 6 ,PG
Wreck-It Ralph ,PG
The Polar Express ,G
Independence Day: Resurgence ,PG-13
How to Train Your Dragon ,PG
Terminator 3: Rise of the Machines ,R
Guardians of the Galaxy ,PG-13
Interstellar ,PG-13
Inception ,PG-13
Godzilla Resurgence ,
The Hobbit: An Unexpected Journey ,PG-13
The Fast and the Furious ,PG-13
The Curious Case of Benjamin Button ,PG-13
X-Men: First Class ,PG-13
The Hunger Games: Mockingjay - Part 2 ,PG-13
The Sorcerer's Apprentice ,PG
Poseidon ,PG-13
Alice Through the Looking Glass ,PG
Shrek the Third ,PG
Warcraft ,PG-13
Terminator Genisys ,PG-13
The Chronicles of Narnia: The Voyage of the Dawn Treader ,PG
Pearl Harbor ,PG-13
Transformers ,PG-13
Alexander ,R
Harry Potter and the Order of the Phoenix ,PG-13
Harry Potter and the Goblet of Fire ,PG-13
